1.72E+00,9.80E-01,8.90E-01,1.20E-01,2.50E-01
1.81E+00,1.10E+00,9.00E-01,1.90E-01,2.50E-01
6.80E-01,4.60E-01,1.40E+00,3.90E-01,2.50E-01
1.84E+00,1.31E+00,1.76E+00,1.70E-01,2.50E-01
1.63E+00,1.32E+00,1.67E+00,1.80E-01,2.50E-01
1.08E+00,9.50E-01,8.20E-01,1.20E-01,2.50E-01
1.72E+00,1.44E+00,6.40E-01,1.80E-01,2.50E-01
1.08E+00,9.40E-01,1.82E+00,2.90E-01,2.50E-01
1.77E+00,1.13E+00,1.19E+00,3.10E-01,2.50E-01
1.98E+00,1.75E+00,1.18E+00,2.90E-01,2.50E-01
1.49E+00,1.24E+00,1.62E+00,3.40E-01,2.50E-01
8.80E-01,6.80E-01,1.78E+00,3.20E-01,2.50E-01
1.72E+00,6.90E-01,1.40E+00,1.30E-01,2.50E-01
6.90E-01,3.20E-01,1.63E+00,2.00E-01,2.50E-01
1.70E+00,1.08E+00,1.67E+00,3.60E-01,2.50E-01
1.39E+00,6.90E-01,9.60E-01,3.90E-01,2.50E-01
6.20E-01,5.60E-01,1.80E+00,2.60E-01,2.50E-01
1.81E+00,1.39E+00,1.99E+00,2.00E-01,2.50E-01
1.95E+00,1.61E+00,1.46E+00,1.70E-01,2.50E-01
1.88E+00,1.06E+00,1.89E+00,1.40E-01,2.50E-01
1.62E+00,1.07E+00,1.55E+00,1.20E-01,2.50E-01
1.54E+00,1.14E+00,6.40E-01,3.70E-01,2.50E-01
1.03E+00,7.90E-01,7.20E-01,1.20E-01,2.50E-01
1.95E+00,1.55E+00,1.35E+00,3.80E-01,2.50E-01
1.00E+00,4.40E-01,1.34E+00,2.30E-01,2.50E-01
1.82E+00,1.05E+00,1.57E+00,2.90E-01,2.50E-01
1.24E+00,8.20E-01,1.55E+00,1.50E-01,2.50E-01
1.69E+00,1.21E+00,6.70E-01,3.70E-01,2.50E-01
1.31E+00,1.04E+00,1.84E+00,1.10E-01,2.50E-01
1.75E+00,1.23E+00,7.20E-01,3.70E-01,2.50E-01
1.59E+00,1.22E+00,1.53E+00,1.40E-01,2.50E-01
1.77E+00,7.40E-01,8.00E-01,2.20E-01,2.50E-01
1.89E+00,8.90E-01,1.53E+00,2.00E-01,2.50E-01
1.29E+00,9.00E-01,6.10E-01,1.30E-01,2.50E-01
1.85E+00,7.60E-01,1.37E+00,3.30E-01,2.50E-01
1.73E+00,1.06E+00,1.05E+00,1.10E-01,2.50E-01
1.97E+00,1.39E+00,7.50E-01,1.70E-01,2.50E-01
1.67E+00,9.10E-01,1.67E+00,2.20E-01,2.50E-01
1.28E+00,8.90E-01,1.09E+00,1.10E-01,2.50E-01
1.97E+00,8.50E-01,7.50E-01,2.90E-01,2.50E-01
1.77E+00,1.59E+00,1.79E+00,3.30E-01,2.50E-01
8.70E-01,4.90E-01,6.50E-01,3.20E-01,2.50E-01
6.90E-01,5.90E-01,1.08E+00,2.90E-01,2.50E-01
1.22E+00,7.70E-01,6.60E-01,2.40E-01,2.50E-01
1.88E+00,7.70E-01,1.58E+00,3.30E-01,2.50E-01
7.30E-01,4.90E-01,1.26E+00,2.70E-01,2.50E-01
6.70E-01,4.90E-01,7.20E-01,3.70E-01,2.50E-01
